,frame,xcoord,ycoord,brand,conf
1750,91000,458,64,Adidas,0.87806636095047
1751,91000,90,58,Asics,0.8713851571083069
1752,91010,324,249,Asics,0.8123586773872375
1753,91010,426,67,Nike,0.962142288684845
1754,91010,426,67,Nike,0.8894650936126709
1755,91010,426,67,Asics,0.8485172986984253
1756,91020,390,67,Adidas,0.944187581539154
1757,91030,324,249,Asics,0.9646788239479065
1758,91030,324,249,Asics,0.8242674469947815
1759,91050,328,64,Asics,0.8428401947021484
1760,91070,276,62,Adidas,0.9227015972137451
1761,91070,84,57,Asics,0.8907407522201538
1762,91080,274,62,Adidas,0.9948092103004456
1763,91080,85,56,Nike,0.9833881855010986
1764,91090,324,249,Asics,0.9771971702575684
1765,91110,229,62,Adidas,0.8583052158355713
1766,91120,213,61,Adidas,0.9937813878059387
1767,91120,213,61,Asics,0.940281331539154
1768,91130,207,61,NB,0.8775213360786438
1769,91130,207,61,Nike,0.8653707504272461
1770,91130,207,61,Adidas,0.8632931113243103
1771,91130,104,59,Asics,0.8240826725959778
1772,91140,463,255,Asics,0.931666374206543
1773,91140,165,62,NB,0.8599457144737244
1774,91170,324,249,Nike,0.958573579788208
1775,91170,214,62,Asics,0.8528755903244019
1776,91180,217,64,Adidas,0.9987255334854126
1777,91190,194,63,Nike,0.9247015714645386
1778,91200,203,65,Adidas,0.823206901550293
1779,91210,226,64,Adidas,0.8931303024291992
1780,91220,259,63,Adidas,0.9797894954681396
1781,91230,470,255,Asics,0.8902640342712402
1782,91230,272,63,Adidas,0.9993343353271484
1783,91240,299,93,Nike,0.9820218682289124
1784,91250,323,249,Asics,0.8581797480583191
1785,91250,323,249,Asics,0.8272495269775391
1786,91250,85,82,Nike,0.9957638382911682
1787,91250,85,82,Nike,0.9776157736778259
1788,91270,462,256,Nike,0.8836215734481812
1789,91270,323,250,Asics,0.8920599222183228
1790,91280,323,250,Asics,0.8715500235557556
1791,91300,323,250,Asics,0.8802416324615479
1792,91300,417,54,Nike,0.9622877836227417
1793,91310,323,250,Asics,0.932070791721344
1794,91310,344,63,Asics,0.9354637861251831
1795,91320,323,250,Asics,0.8420343995094299
1796,91330,453,262,Asics,0.8302863836288452
1797,91330,399,63,Nike,0.8840522170066833
1798,91350,324,250,Asics,0.8215192556381226
1799,91370,49,62,Asics,0.9559757113456726
1800,91380,118,56,Asics,0.815830647945404
1801,91390,323,250,Asics,0.8528631925582886
